station_id,name,lat,lng,borough,capacity
3611.02,Prospect Park SW & 10 Ave,40.659945,-73.977504,Brooklyn,29
3617.02,Maple St & New York Ave,40.66104,-73.94795,Brooklyn,25
3620.02,Windsor Pl & 8 Ave,40.660906,-73.983074,Brooklyn,27
3623.03,Kings Hwy & E 98 St,40.66169,-73.91948,Brooklyn,15
3625.04,Bedford Ave & Maple St,40.66035,-73.95679,Brooklyn,24
3625.07,Rogers Ave & Lincoln Rd,40.66127,-73.95352,Brooklyn,27
3628.11,6 Ave & 21 St,40.66016,-73.990974,Brooklyn,31
3631.05,E 92 St & Rutland Rd,40.66204,-73.92763,Brooklyn,19
3633.08,Lincoln Rd & Ocean Ave,40.6605,-73.9626,Brooklyn,35
3639.04,Schenectady Ave & Maple St,40.66178,-73.93445,Brooklyn,19
3648.08,Kingston Ave & E New York Ave,40.66219,-73.94293,Brooklyn,26
3651.04,West Drive & Prospect Park West,40.6610633719006,-73.97945255041122,Brooklyn,45
3655.06,Livonia Ave & Saratoga Ave,40.66166,-73.91566,Brooklyn,15
3657.06,Sterling St & Nostrand Ave,40.66318,-73.95076,Brooklyn,30
3660.07,7 Ave & 17 St,40.66093779493168,-73.98680448532104,Brooklyn,27
3663.01,Rockaway Pkwy & Winthrop St,40.66274,-73.92174,Brooklyn,19
3665.06,Sterling St & Bedford Ave,40.6627059,-73.9569115,Brooklyn,25
3668.04,21 St & 4 Ave,40.662584,-73.995554,Brooklyn,27
3671.01,E New York Ave & Utica Ave,40.662686,-73.931755,Brooklyn,22
3671.02,Utica Ave & E New York Ave,40.66304,-73.93141,Brooklyn,21
3680.04,E New York Ave & Troy Ave,40.66227,-73.93762,Brooklyn,20
3688.06,Brooklyn Ave & Lefferts Ave,40.662564,-73.945565,Brooklyn,25
3694.08,Legion St & Blake Ave,40.66443,-73.91716,Brooklyn,15
3696.05,Rogers Ave & Sterling St,40.6630619,-73.9538746,Brooklyn,26
3699.07,17 St & 5 Ave,40.663493,-73.991007,Brooklyn,31
3702.07,E 95 St & Rutland Rd,40.66323,-73.92529,Brooklyn,17
3704.01,Washington Ave & Empire Blvd,40.66314,-73.9605695,Brooklyn,27
3704.04,Flatbush Ave & Ocean Ave,40.663657,-73.963014,Brooklyn,32
3707.01,23 St & 3 Ave,40.662611,-73.998623,Brooklyn,20
3710.07,Lefferts Ave & Schenectady Ave,40.66343,-73.93472,Brooklyn,24
3719.02,Lefferts Ave & Albany Ave,40.66288,-73.94019,Brooklyn,25
3722.04,Prospect Park West & 8 St,40.66514681533792,-73.97637605667114,Brooklyn,38
3728.04,Empire Blvd & New York Ave,40.66403,-73.94769,Brooklyn,21
3728.05,New York Ave & Montgomery St,40.66509,-73.94824,Brooklyn,23
3731.11,14 St & 7 Ave,40.663779,-73.98396846,Brooklyn,36
3736.03,Bedford Ave & Montgomery St,40.665816,-73.956934,Brooklyn,26
3736.04,Sullivan Pl & Bedford Ave,40.6642406,-73.9574686,Brooklyn,15
